Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1393124.7998688696,1796547.0129408594
2023-06-01,1562858.5607783408,1371604.709054624,1768712.0738574401
2023-07-01,1495716.8484915767,1305289.6733770906,1700016.6503597058
2023-08-01,1644427.892116846,1446432.694883506,1858978.1276704052
2023-09-01,1819152.2480659503,1622562.6319130387,2030254.2105201862
2023-10-01,1543673.8741991178,1340985.196669555,1740909.5266940542
2023-11-01,1572905.2854333443,1373945.0271758419,1780566.4025343226
2023-12-01,1638855.2075005453,1455377.5018339488,1838304.8476943404
2024-01-01,1469818.943145833,1258710.2976797177,1672304.5377449049
2024-02-01,1606955.712108612,1392401.0179461997,1811908.6633054838
2024-03-01,1033760.9168559094,822425.4040410918,1249426.545815121
2024-04-01,1680483.427093204,1471809.787477982,1882257.2270703544
