Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1406966.2406352952,1809094.2254236701
2023-06-01,1562858.5607783408,1352442.7193806702,1764038.0351509296
2023-07-01,1495716.8484915767,1297055.5942765907,1689905.8677633924
2023-08-01,1644427.892116846,1462617.0901953552,1850104.4630322692
2023-09-01,1819152.2480659503,1616068.7289491107,2013920.7048016598
2023-10-01,1543673.8741991178,1351804.3024726417,1744441.9258916345
2023-11-01,1572905.2854333443,1386585.6133854669,1768940.108295815
2023-12-01,1638855.2075005453,1438406.3274858624,1861624.4071074226
2024-01-01,1469818.943145833,1275767.2389133263,1676453.3488404134
2024-02-01,1606955.712108612,1390840.6990661894,1812643.8184528514
2024-03-01,1033760.9168559094,823891.60655213,1243480.191060877
2024-04-01,1680483.427093204,1482659.2219657258,1895395.6464338554
