Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601330.8143920302,1408610.985620649,1809713.9000526064
2023-06-01,1562854.694813354,1355913.5747569818,1751871.8696983503
2023-07-01,1495717.9250068204,1298726.8572745742,1700138.0236053362
2023-08-01,1644427.995300519,1450131.2775906785,1847782.1132013449
2023-09-01,1819151.341101189,1610642.6540644935,2030596.1955942344
2023-10-01,1543674.0795465084,1333600.0168034742,1740391.8230355047
2023-11-01,1572902.5103874204,1364855.7997482899,1776074.1817944464
2023-12-01,1638853.962733797,1444504.1978800632,1853588.8920251594
2024-01-01,1469818.6626304924,1273491.2473749365,1669627.3408460657
2024-02-01,1606956.604370668,1409881.611421435,1807935.4350523017
2024-03-01,1033759.7338997531,819542.5562860337,1233739.5994584353
2024-04-01,1680482.479236174,1464854.0857708862,1900756.0728954868
