Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601330.8143920302,1398620.6450863252,1805398.8383652857
2023-06-01,1562854.694813354,1359300.5398532911,1758639.5967343876
2023-07-01,1495717.9250068204,1302188.2196230008,1698688.9639926492
2023-08-01,1644427.995300519,1451060.1335611755,1844479.6964064697
2023-09-01,1819151.341101189,1600243.756718847,2000734.6776890196
2023-10-01,1543674.0795465084,1335657.078743308,1731751.5166536982
2023-11-01,1572902.5103874204,1378793.608936452,1778285.18616831
2023-12-01,1638853.962733797,1445577.9991810434,1840782.7370712725
2024-01-01,1469818.6626304924,1264749.54676695,1665022.0001876524
2024-02-01,1606956.604370668,1402543.5365232779,1832196.1155464866
2024-03-01,1033759.7338997531,820171.8782671384,1235083.357763531
2024-04-01,1680482.479236174,1477848.4639529951,1886957.227271702
