Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601330.8143920302,1399040.4508320577,1805901.682673755
2023-06-01,1562854.694813354,1348431.7789337805,1766749.101403422
2023-07-01,1495717.9250068204,1298290.6428283444,1696787.486642046
2023-08-01,1644427.995300519,1441072.2365371925,1854614.403545582
2023-09-01,1819151.341101189,1613862.3734553584,2017171.6846067032
2023-10-01,1543674.0795465084,1338580.2213152067,1734497.0728943201
2023-11-01,1572902.5103874204,1358062.6932476268,1778181.4391832382
2023-12-01,1638853.962733797,1440936.190538041,1841503.1912836132
2024-01-01,1469818.6626304924,1270822.2345957267,1651034.2272996835
2024-02-01,1606956.604370668,1395421.2981749931,1794062.922907828
2024-03-01,1033759.7338997531,844958.6633133445,1238740.1116530427
2024-04-01,1680482.479236174,1485920.677233809,1897988.6763928374
