Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1396582.9650283619,1794953.8056480035
2023-06-01,1562858.5607783408,1372682.413593172,1761673.233955903
2023-07-01,1495716.8484915767,1289437.0576967618,1701719.7977068527
2023-08-01,1644427.892116846,1452263.6766764787,1850333.8064594963
2023-09-01,1819152.2480659503,1632253.487197932,2015629.7372009004
2023-10-01,1543673.8741991178,1339069.8174984362,1744876.6098427523
2023-11-01,1572905.2854333443,1368853.280234153,1764272.0964591787
2023-12-01,1638855.2075005453,1425025.5869547883,1850302.04153952
2024-01-01,1469818.943145833,1259548.4859861706,1672260.0686285163
2024-02-01,1606955.712108612,1416685.5448413955,1819015.265860783
2024-03-01,1033760.9168559094,827077.7285217539,1237683.1959041185
2024-04-01,1680483.427093204,1472850.9075638922,1901066.10640529
