Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1396190.2619924436,1799439.4781156185
2023-06-01,1562858.5607783408,1361599.247394172,1757409.6668615006
2023-07-01,1495716.8484915767,1299394.335697134,1689738.9031105952
2023-08-01,1644427.892116846,1449797.7991996945,1844369.7084558795
2023-09-01,1819152.2480659503,1627621.3389932965,2026125.0247123677
2023-10-01,1543673.8741991178,1333476.9133265086,1735749.1580318685
2023-11-01,1572905.2854333443,1372884.0050721432,1772307.3050548385
2023-12-01,1638855.2075005453,1453545.0869956338,1846168.8352025142
2024-01-01,1469818.943145833,1263715.7912742374,1660693.636819151
2024-02-01,1606955.712108612,1405903.0730556627,1820774.388187748
2024-03-01,1033760.9168559094,817639.6754891998,1234298.7341802437
2024-04-01,1680483.427093204,1473674.1196120135,1887271.057658612
