Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601330.8143920302,1400722.7700446283,1796995.1340563926
2023-06-01,1562854.694813354,1377758.4958598213,1752570.2784788783
2023-07-01,1495717.9250068204,1283822.298334869,1680963.0486777413
2023-08-01,1644427.995300519,1463356.2492442075,1842090.601315616
2023-09-01,1819151.341101189,1621889.3538445507,2024185.3878697602
2023-10-01,1543674.0795465084,1342877.9769440375,1742612.0683867368
2023-11-01,1572902.5103874204,1361208.823813069,1778642.2127174078
2023-12-01,1638853.962733797,1441574.8166936396,1850889.8593338148
2024-01-01,1469818.6626304924,1257369.3051524288,1667822.1448260436
2024-02-01,1606956.604370668,1414629.9789067241,1815135.1278424535
2024-03-01,1033759.7338997531,839042.5096477154,1239091.8603442805
2024-04-01,1680482.479236174,1462859.323363718,1883093.0000513697
