Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1747726.0390093254,1591218.4493367537,1892209.4375071053
2023-06-01,1712243.4374719677,1559767.103450612,1854331.6184892037
2023-07-01,1249347.821148695,1100530.1658544259,1407421.203862904
2023-08-01,1825293.168788423,1671382.8806080446,1977751.1211411697
2023-09-01,2139538.395659264,1995858.6479775978,2285239.051854043
2023-10-01,1444188.3942077255,1285810.058637441,1591383.657082317
2023-11-01,1513740.9263526476,1372136.7403674808,1669097.595520425
2023-12-01,1556567.3356946255,1392659.760783864,1719513.8937459115
2024-01-01,1158174.1031893198,1008193.218244629,1313677.7358005669
2024-02-01,1803263.4460625795,1634578.3168064493,1961806.1387844672
2024-03-01,138569.7815695966,-14213.821442055432,293158.5130415463
2024-04-01,1222243.7816603703,1064772.9554753872,1374946.7535375366
2024-05-01,2341085.0595873925,2166465.531076461,2539635.4607385
2024-06-01,2054386.8299843743,1873385.288760717,2244618.381108258
2024-07-01,868070.0671811439,710862.9193310172,1041701.1846591734
2024-08-01,2125361.293259706,1940129.859511846,2344689.4722157875
2024-09-01,2775506.4304938335,2544672.524115,3019029.044369004
2024-10-01,1279174.0655096604,1091935.3262325295,1456030.5875540373
2024-11-01,1508619.8495643397,1315214.829847946,1699743.0429313155
2024-12-01,1370735.1229457336,1191711.7854568695,1552868.454589296
2025-01-01,1369732.6989777316,1160042.8379732405,1568765.737955465
2025-02-01,2915237.2873884453,2606507.781018657,3234081.5405248264
2025-03-01,422014.4194662745,266862.5740859256,579238.888591827
2025-04-01,1430261.9990722116,1229372.0811373608,1650501.5919340816
