Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601330.8143920302,1414073.7282199855,1805392.1116551713
2023-06-01,1562854.694813354,1361333.7166736338,1761328.3732253888
2023-07-01,1495717.9250068204,1293541.9568018243,1693223.1210954853
2023-08-01,1644427.995300519,1455108.6568969889,1849207.397383417
2023-09-01,1819151.341101189,1624955.4400371048,2022302.45126812
2023-10-01,1543674.0795465084,1337762.044795399,1746905.9781465607
2023-11-01,1572902.5103874204,1378584.3001776373,1780364.3950279786
2023-12-01,1638853.962733797,1434889.0510263883,1833323.4184416211
2024-01-01,1469818.6626304924,1278555.5234611982,1677148.0661500387
2024-02-01,1606956.604370668,1400054.6926049823,1806758.5593852128
2024-03-01,1033759.7338997531,838082.2913596351,1228331.842630059
2024-04-01,1680482.479236174,1467722.632982231,1888316.2855467605
