Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1406918.2417319792,1808415.019115824
2023-06-01,1562858.5607783408,1367596.3240964436,1751861.4237155668
2023-07-01,1495716.8484915767,1291052.297258068,1694630.8640125694
2023-08-01,1644427.892116846,1451376.1358046161,1841675.4300281038
2023-09-01,1819152.2480659503,1632176.3155559183,2022799.9879801623
2023-10-01,1543673.8741991178,1337224.8299205012,1733236.9851690412
2023-11-01,1572905.2854333443,1384745.4273678113,1773594.723289396
2023-12-01,1638855.2075005453,1421769.8361974792,1845094.7403201626
2024-01-01,1469818.943145833,1266846.8026500645,1666437.3814999838
2024-02-01,1606955.712108612,1403235.233470707,1819239.6028776038
2024-03-01,1033760.9168559094,814693.3312720772,1247551.5532591636
2024-04-01,1680483.427093204,1453841.5422722932,1883214.3371362784
