Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1396090.116331909,1789764.5301382802
2023-06-01,1562858.5607783408,1363438.8334706079,1764188.0775753232
2023-07-01,1495716.8484915767,1313618.6016253186,1692750.2649849388
2023-08-01,1644427.892116846,1442692.9157913167,1830415.234936783
2023-09-01,1819152.2480659503,1622883.8553611976,2016424.3808276877
2023-10-01,1543673.8741991178,1339063.3472130399,1743832.9333437702
2023-11-01,1572905.2854333443,1374862.261721751,1774106.1346023679
2023-12-01,1638855.2075005453,1427033.6343285346,1851028.5415668488
2024-01-01,1469818.943145833,1264737.5964483153,1681390.947686539
2024-02-01,1606955.712108612,1399287.009964651,1813336.1577265002
2024-03-01,1033760.9168559094,812781.1623549442,1226468.0056702523
2024-04-01,1680483.427093204,1463894.5934359622,1880887.2431100295
