Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1395379.9359770804,1802738.7798254364
2023-06-01,1562858.5607783408,1360866.109883859,1747245.6610362895
2023-07-01,1495716.8484915767,1299086.0034190365,1708601.7603399605
2023-08-01,1644427.892116846,1441968.870753078,1844032.200949433
2023-09-01,1819152.2480659503,1616574.9897779662,2013773.0013315196
2023-10-01,1543673.8741991178,1346671.95757959,1737523.7372427378
2023-11-01,1572905.2854333443,1371876.4271077672,1772563.5399189857
2023-12-01,1638855.2075005453,1440274.292149565,1844034.9317560154
2024-01-01,1469818.943145833,1260806.0326647717,1666859.4271215312
2024-02-01,1606955.712108612,1404086.849995657,1800632.4989134655
2024-03-01,1033760.9168559094,835927.0565110303,1241407.2889201797
2024-04-01,1680483.427093204,1478805.4882308564,1900571.2831540902
