Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1391871.7536598123,1802747.869534454
2023-06-01,1562858.5607783408,1371150.9582470218,1766372.4679369936
2023-07-01,1495716.8484915767,1289525.43389977,1694232.801109923
2023-08-01,1644427.892116846,1445097.673955036,1843945.2495090447
2023-09-01,1819152.2480659503,1615181.6804156895,2023598.5650875184
2023-10-01,1543673.8741991178,1343799.151176599,1751153.1444288448
2023-11-01,1572905.2854333443,1356317.1362253383,1773326.592735708
2023-12-01,1638855.2075005453,1427721.5250433362,1843498.5135332276
2024-01-01,1469818.943145833,1275646.269499223,1678138.1121588536
2024-02-01,1606955.712108612,1393675.6836883877,1821158.4791666537
2024-03-01,1033760.9168559094,829093.3762340947,1242967.0004453294
2024-04-01,1680483.427093204,1468989.2591416973,1891798.311473355
