Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1405985.7204776506,1800637.6075326628
2023-06-01,1562858.5607783408,1366082.0322105193,1753021.1637768561
2023-07-01,1495716.8484915767,1295756.404529732,1698330.6938593343
2023-08-01,1644427.892116846,1439713.7511102546,1846380.5667501835
2023-09-01,1819152.2480659503,1615299.6426479998,2017434.4030286884
2023-10-01,1543673.8741991178,1345106.9354400244,1750369.1971818686
2023-11-01,1572905.2854333443,1373524.0599070948,1780314.7803995349
2023-12-01,1638855.2075005453,1441750.5128594337,1837307.7302397399
2024-01-01,1469818.943145833,1270972.5644614252,1672586.7905109636
2024-02-01,1606955.712108612,1395260.5462318328,1814807.779864216
2024-03-01,1033760.9168559094,833420.1302363778,1245504.669235754
2024-04-01,1680483.427093204,1474118.111133562,1872765.3886923634
