Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1394000.9873441327,1772937.0210584898
2023-06-01,1562858.5607783408,1369453.568120717,1773625.4747984342
2023-07-01,1495716.8484915767,1297582.6194866356,1695348.2086790754
2023-08-01,1644427.892116846,1437675.7464074034,1839540.281166871
2023-09-01,1819152.2480659503,1628717.6180191056,2025274.3517299432
2023-10-01,1543673.8741991178,1347995.1696219752,1736089.5517734243
2023-11-01,1572905.2854333443,1367299.3933237512,1771284.084110353
2023-12-01,1638855.2075005453,1436269.229691661,1820196.3845162957
2024-01-01,1469818.943145833,1260915.8478554878,1662112.9045975085
2024-02-01,1606955.712108612,1409876.2119439044,1824443.7381330067
2024-03-01,1033760.9168559094,849980.8061333406,1242799.70007232
2024-04-01,1680483.427093204,1473256.0182014012,1895411.14501713
