Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1411690.429156705,1788274.085504473
2023-06-01,1562858.5607783408,1372388.3402356012,1760189.5527392093
2023-07-01,1495716.8484915767,1312050.5448194447,1702372.4629970992
2023-08-01,1644427.892116846,1449614.150706082,1840520.934011133
2023-09-01,1819152.2480659503,1627453.3746278419,2027160.6551054602
2023-10-01,1543673.8741991178,1333540.9534946333,1739611.4548568383
2023-11-01,1572905.2854333443,1373672.144923791,1778248.169917881
2023-12-01,1638855.2075005453,1427527.2571854142,1821672.755343145
2024-01-01,1469818.943145833,1262768.5089483834,1669863.8617899213
2024-02-01,1606955.712108612,1388710.112262183,1809130.8673914855
2024-03-01,1033760.9168559094,825536.7609912128,1227334.5287441174
2024-04-01,1680483.427093204,1479277.6816933227,1892524.3518953638
