Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1394047.2910369204,1805928.5325373898
2023-06-01,1562858.5607783408,1366179.700427356,1761896.4391438074
2023-07-01,1495716.8484915767,1302741.8585188803,1685875.5683034007
2023-08-01,1644427.892116846,1443492.9095462116,1855642.3262885849
2023-09-01,1819152.2480659503,1622533.5140621853,2001351.1114995126
2023-10-01,1543673.8741991178,1356631.5047400293,1740878.0994415036
2023-11-01,1572905.2854333443,1369873.5607237471,1778515.4570095078
2023-12-01,1638855.2075005453,1442831.1846933232,1863642.577455699
2024-01-01,1469818.943145833,1278968.7915931426,1684781.247046875
2024-02-01,1606955.712108612,1414541.034525555,1820712.0239101844
2024-03-01,1033760.9168559094,828537.1964007294,1248358.8606401281
2024-04-01,1680483.427093204,1474443.0207385488,1902480.4752911683
