Data,Previsao,IC_Inferior,IC_Superior
2023-05-01,1601331.1309856686,1391861.4829673467,1783978.6995757478
2023-06-01,1562858.5607783408,1343236.913863015,1753680.8528477272
2023-07-01,1495716.8484915767,1289248.1645744366,1687414.1272143533
2023-08-01,1644427.892116846,1449632.1180008461,1840630.999691538
2023-09-01,1819152.2480659503,1615252.9787895882,2005856.48313228
2023-10-01,1543673.8741991178,1339506.074430853,1736905.3814651757
2023-11-01,1572905.2854333443,1360337.085058912,1767945.021295478
2023-12-01,1638855.2075005453,1457931.4330572006,1842604.2905774468
2024-01-01,1469818.943145833,1248885.1756576959,1676713.9054492936
2024-02-01,1606955.712108612,1400332.8725609756,1810993.6110811988
2024-03-01,1033760.9168559094,803856.0374107967,1238553.7538748784
2024-04-01,1680483.427093204,1468982.4208484082,1893623.7120948548
